question_id,category,question_type,question,expected_answer,expected_source_ids,manual_retrieval_relevance_0_2,manual_faithfulness_0_2,manual_answer_correctness_0_2,manual_answer_relevance_0_2,manual_language_quality_0_2,notes
bdreg_q11_required_documents,documents,paraphrase,জন্ম নিবন্ধনের জন্য সাধারণত কী কী প্রমাণক সংযুক্ত করতে হয়?,"জন্ম নিবন্ধনের আবেদনে সাধারণত জন্ম তারিখের প্রমাণক, জন্মস্থানের প্রমাণক এবং স্থায়ী ঠিকানার প্রমাণক সংযুক্ত করতে হয়। সংযুক্তির জন্য ২ মেগাবাইটের কম আকারের ইমেজ ফাইল ব্যবহার করতে হয়।","birth_registration_application_process_cleaned_016_01,birth_registration_application_process_02_cleaned_010_01",,,,,,
bdreg_q12_application_id,application_process,factual,জন্ম নিবন্ধন আবেদন সাবমিট করার পর আবেদন নম্বর কোথায় পাব?,"জন্ম নিবন্ধনের আবেদন সফলভাবে সম্পন্ন হলে মোবাইলে অ্যাপ্লিকেশন আইডি SMS হিসেবে যায়। আরেক নির্দেশনায় বলা আছে, আবেদনপত্র নম্বর বা Application ID মোবাইল নম্বর বা ইমেইলে পাঠানো হয়।","birth_registration_application_process_02_cleaned_013_01,birth_registration_application_process_cleaned_019_01",,,,,,
bdreg_q13_manual_to_online,manual_to_online,scenario,"আমার হাতে লেখা পুরোনো জন্ম নিবন্ধন আছে, কিন্তু অনলাইনে নেই। একই নম্বর দিয়ে অনলাইনে তোলা যাবে?","ম্যানুয়াল জন্ম নিবন্ধন অনলাইনে অন্তর্ভুক্তির জন্য আগে সময় দেওয়া হয়েছিল। এখন একই নম্বর দিয়ে অনলাইনে অন্তর্ভুক্তির সুযোগ নেই। যে এলাকায় হাতে লেখা নিবন্ধন হয়েছিল সেই কার্যালয়ের বইতে তথ্য পাওয়া গেলে নিবন্ধক সরাসরি সেই তথ্য দিয়ে অনলাইন নিবন্ধন করে দেবেন, তবে নিবন্ধন নম্বর পরিবর্তিত হবে।",bdris_faq_01_q02,,,,,,
bdreg_q14_duplicate_registration,duplicate,scenario,একই ব্যক্তির একাধিক জন্ম সনদ থাকলে কোনটা বাতিল করতে হবে?,একই ব্যক্তির একাধিক জন্ম নিবন্ধন থাকলে অপ্রয়োজনীয় বা ভুল সনদ বাতিলের জন্য সংশ্লিষ্ট প্রক্রিয়া অনুসরণ করতে হবে। একাধিক জন্ম বা মৃত্যু সনদ বাতিলের শর্ত ও ধাপ সম্পর্কিত নির্দেশনা ডেটাসেটে আছে।,"notice_birth_and_death_registration_certificate_correction_steps_ocr_003_01,notice_birth_and_death_registration_certificate_correction_steps_ocr_004_01,bdris_faq_01_q14",,,,,,
bdreg_q15_bangla_to_english_certificate,bilingual_registration,paraphrase,আগের জন্ম নিবন্ধন শুধু বাংলায় আছে। ইংরেজি তথ্য যোগ করতে চাইলে কী হবে?,সফটওয়্যারে যেকোনো তথ্য সংযোজন বা বিয়োজন সংশোধন হিসেবে গণ্য হয়। ইংরেজি তথ্য যোগ করা হলে তা সংশোধন হিসেবে গণ্য হবে এবং জন্ম ও মৃত্যু নিবন্ধন বিধিমালা ২০১৮-এর বিধি ১৫ অনুযায়ী সংশোধন প্রক্রিয়া অনুসরণ করতে হবে।,"bdris_faq_01_q04,bdris_faq_02_q02",,,,,,
bdreg_q16_married_woman_registration,special_case,scenario,বিবাহিত নারীর জন্ম নিবন্ধন কি স্বামীর ঠিকানায় করা যাবে?,বিবাহিত নারীর জন্ম নিবন্ধন স্বামীর স্থায়ী ঠিকানায় বা অস্থায়ী ঠিকানায় করা যেতে পারে।,"bdris_faq_01_q07,bdris_faq_02_q06",,,,,,
bdreg_q17_mobile_number_policy,mobile_number,condition_based,একই মোবাইল নম্বর দিয়ে পরিবারের কয়েকজনের জন্ম নিবন্ধন করা যাবে?,একই মোবাইল নম্বর দিয়ে একই পরিবারের সর্বোচ্চ ৫ জনের জন্ম নিবন্ধন করা যাবে।,"bdris_faq_01_q09,bdris_faq_02_q07",,,,,,
bdreg_q18_death_registration_process,death_registration,factual,মৃত্যু নিবন্ধনের সাধারণ পদ্ধতি কী?,মৃত্যু নিবন্ধনের জন্য নির্ধারিত স্থানের নিবন্ধকের নিকট মৃত্যুর তথ্য প্রদান করতে হয়। মৃত্যু নিবন্ধন পদ্ধতি সম্পর্কিত সাধারণ নির্দেশনা ডেটাসেটে আছে।,"know_this_01_cleaned_004_01,birth_and_death_registration_rules_2018_বিধি_১১_01",,,,,,
bdreg_q19_out_of_context_passport,out_of_context,out_of_context,পাসপোর্টের জরুরি ডেলিভারি ফি কত?,এই birth and death registration ডেটাসেটে পাসপোর্টের জরুরি ডেলিভারি ফি সম্পর্কিত তথ্য নেই।,,,,,,,
bdreg_q20_out_of_context_driving_license,out_of_context,out_of_context,ড্রাইভিং লাইসেন্স নবায়ন করতে BRTA-তে কী কী লাগবে?,এই birth and death registration ডেটাসেটে BRTA ড্রাইভিং লাইসেন্স নবায়ন সম্পর্কিত তথ্য নেই।,,,,,,,
