method,question_id,category,question,expected_source_ids,retrieved_ids,recall@1,recall@3,recall@5,precision@5,mrr,ndcg@5
Simple RAG,fees_bangladesh_64_5,fees,"What is the fee for a 64-page, 5-year e-Passport inside Bangladesh?",fees_bangladesh_64_5,"fees_bangladesh_64_5,fees_bangladesh_48_5,fees_mission_general_64_5,fees_bangladesh_64_10,fees_bangladesh_48_10",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,fees_bangladesh_64_5,fees,"What is the fee for a 64-page, 5-year e-Passport inside Bangladesh?",fees_bangladesh_64_5,"fees_bangladesh_64_5,fees_bangladesh_48_5,fees_bangladesh_64_10,fees_mission_general_64_5,fees_bangladesh_48_10",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,fees_bangladesh_64_10,fees,"What is the fee for a 64-page, 10-year e-Passport inside Bangladesh?",fees_bangladesh_64_10,"fees_bangladesh_64_10,fees_bangladesh_48_10,fees_bangladesh_64_5,fees_mission_general_64_10,fees_bangladesh_48_5",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,fees_bangladesh_64_10,fees,"What is the fee for a 64-page, 10-year e-Passport inside Bangladesh?",fees_bangladesh_64_10,"fees_bangladesh_64_10,fees_bangladesh_48_10,fees_bangladesh_64_5,fees_mission_general_64_10,fees_bangladesh_48_5",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,fees_mission_general_48_5,fees,"What is the fee for a 48-page, 5-year e-Passport at a Bangladesh Mission abroad (general applicants)?",fees_mission_general_48_5,"fees_mission_general_48_5,fees_mission_general_64_5,fees_mission_general_48_10,fees_mission_labor_student_48_5,fees_mission_general_64_10",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,fees_mission_general_48_5,fees,"What is the fee for a 48-page, 5-year e-Passport at a Bangladesh Mission abroad (general applicants)?",fees_mission_general_48_5,"fees_mission_general_48_5,fees_mission_general_64_5,fees_mission_general_48_10,fees_mission_labor_student_48_5,fees_mission_general_64_10",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,fees_mission_general_48_10,fees,"What is the fee for a 48-page, 10-year e-Passport at a Bangladesh Mission abroad (general applicants)?",fees_mission_general_48_10,"fees_mission_general_48_10,fees_mission_general_48_5,fees_mission_general_64_10,fees_mission_labor_student_48_10,fees_mission_general_64_5",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,fees_mission_general_48_10,fees,"What is the fee for a 48-page, 10-year e-Passport at a Bangladesh Mission abroad (general applicants)?",fees_mission_general_48_10,"fees_mission_general_48_10,fees_mission_general_48_5,fees_mission_general_64_10,fees_mission_labor_student_48_10,fees_mission_general_64_5",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,fees_mission_general_64_5,fees,"What is the fee for a 64-page, 5-year e-Passport at a Bangladesh Mission abroad (general applicants)?",fees_mission_general_64_5,"fees_mission_general_64_5,fees_mission_general_48_5,fees_mission_general_64_10,fees_mission_general_48_10,fees_mission_labor_student_48_5",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,fees_mission_general_64_5,fees,"What is the fee for a 64-page, 5-year e-Passport at a Bangladesh Mission abroad (general applicants)?",fees_mission_general_64_5,"fees_mission_general_64_5,fees_mission_general_48_5,fees_mission_general_64_10,fees_mission_general_48_10,fees_mission_labor_student_48_5",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,fees_mission_general_64_10,fees,"What is the fee for a 64-page, 10-year e-Passport at a Bangladesh Mission abroad (general applicants)?",fees_mission_general_64_10,"fees_mission_general_64_10,fees_mission_general_48_10,fees_mission_general_64_5,fees_mission_general_48_5,fees_mission_labor_student_48_10",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,fees_mission_general_64_10,fees,"What is the fee for a 64-page, 10-year e-Passport at a Bangladesh Mission abroad (general applicants)?",fees_mission_general_64_10,"fees_mission_general_64_10,fees_mission_general_48_10,fees_mission_general_64_5,fees_mission_general_48_5,fees_mission_labor_student_48_10",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,fees_mission_labor_student_48_5,fees,"What is the fee for a 48-page, 5-year e-Passport at a Bangladesh Mission abroad for laborers or students?",fees_mission_labor_student_48_5,"fees_mission_labor_student_48_5,fees_mission_labor_student_48_10,fees_mission_general_48_5,fees_mission_general_64_5,fees_mission_general_48_10",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,fees_mission_labor_student_48_5,fees,"What is the fee for a 48-page, 5-year e-Passport at a Bangladesh Mission abroad for laborers or students?",fees_mission_labor_student_48_5,"fees_mission_labor_student_48_5,fees_mission_labor_student_48_10,fees_mission_general_48_5,fees_mission_general_64_5,fees_mission_general_48_10",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,fees_mission_labor_student_48_10,fees,"What is the fee for a 48-page, 10-year e-Passport at a Bangladesh Mission abroad for laborers or students?",fees_mission_labor_student_48_10,"fees_mission_labor_student_48_10,fees_mission_labor_student_48_5,fees_mission_general_48_10,fees_mission_general_48_5,fees_mission_general_64_10",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,fees_mission_labor_student_48_10,fees,"What is the fee for a 48-page, 10-year e-Passport at a Bangladesh Mission abroad for laborers or students?",fees_mission_labor_student_48_10,"fees_mission_labor_student_48_10,fees_mission_labor_student_48_5,fees_mission_general_48_10,fees_mission_general_48_5,fees_mission_general_64_10",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,fees_govt_employee_benefit,fees,Do government employees with NOC or retirement documents get any fee benefits?,fees_govt_employee_benefit,"fees_govt_employee_benefit,required_documents_retired_govt,reissue_expiry_fee,fees_mission_labor_student_48_10,fees_mission_labor_student_48_5",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,fees_govt_employee_benefit,fees,Do government employees with NOC or retirement documents get any fee benefits?,fees_govt_employee_benefit,"fees_govt_employee_benefit,dhaka_cantonment_jurisdiction,required_documents_retired_govt,reissue_expiry_fee,fees_mission_labor_student_48_10",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,delivery_timeframes,fees,How long does e-Passport delivery take?,delivery_timeframes,"delivery_timeframes,process_step_5,validity_5_or_10_years,delivery_upgrade_express,fees_bangladesh_48_5",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,delivery_timeframes,fees,How long does e-Passport delivery take?,delivery_timeframes,"delivery_timeframes,validity_5_or_10_years,delivery_upgrade_express,process_step_5,delivery_super_express_apply",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,payment_methods,payment,How can I pay for the e-Passport?,payment_methods,"payment_methods,process_step_3,delivery_super_express_apply,delivery_upgrade_express,application_existing_mrp",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,payment_methods,payment,How can I pay for the e-Passport?,payment_methods,"payment_methods,delivery_super_express_apply,delivery_upgrade_express,application_existing_mrp,process_step_3",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,payment_issues,payment,I had an issue with online payment. What should I do?,payment_issues,"payment_issues,application_mistakes_submitted,payment_methods,process_step_3,delivery_upgrade_express",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,payment_issues,payment,I had an issue with online payment. What should I do?,payment_issues,"payment_issues,application_mistakes_submitted,account_forgot_password,status_browser_issue,collection_printing_error",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,required_documents_general,documents,What documents do I need to bring for e-Passport enrolment?,required_documents_general,"required_documents_general,required_documents_retired_govt,documents_data_changed,photos_required,process_step_4",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,required_documents_general,documents,What documents do I need to bring for e-Passport enrolment?,required_documents_general,"required_documents_general,required_documents_retired_govt,documents_collect_passport,photos_required,documents_data_changed",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,required_documents_retired_govt,documents,I have retired from government service. What documents do I need for e-Passport enrolment?,required_documents_retired_govt,"required_documents_retired_govt,required_documents_general,documents_data_changed,application_existing_mrp,photos_required",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,required_documents_retired_govt,documents,I have retired from government service. What documents do I need for e-Passport enrolment?,required_documents_retired_govt,"required_documents_retired_govt,required_documents_general,application_existing_mrp,documents_data_changed,documents_collect_passport",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,documents_data_changed,documents,My information has changed since my previous passport. What extra documents do I need?,documents_data_changed,"documents_data_changed,nid_update_passport,documents_collect_passport,required_documents_general,application_mistakes_submitted",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,documents_data_changed,documents,My information has changed since my previous passport. What extra documents do I need?,documents_data_changed,"documents_data_changed,required_documents_general,documents_collect_passport,application_mistakes_submitted,application_address_changed",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,documents_collect_passport,documents,What documents do I need to collect my new passport?,documents_collect_passport,"documents_collect_passport,documents_data_changed,required_documents_general,required_documents_retired_govt,delivery_lost_slip",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,documents_collect_passport,documents,What documents do I need to collect my new passport?,documents_collect_passport,"documents_collect_passport,required_documents_retired_govt,documents_data_changed,required_documents_general,nid_update_passport",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,appointment_schedule,appointments,How can I schedule an appointment at the passport office?,appointment_schedule,"appointment_schedule,appointment_no_slot,appointment_cancel_reschedule,appointment_pdf_form,application_mistakes_submitted",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,appointment_schedule,appointments,How can I schedule an appointment at the passport office?,appointment_schedule,"appointment_schedule,appointment_no_slot,appointment_pdf_form,appointment_cancel_reschedule,delivery_lost_slip",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,appointment_cancel_reschedule,appointments,Can I cancel or reschedule my passport office appointment?,appointment_cancel_reschedule,"appointment_cancel_reschedule,appointment_schedule,application_mistakes_submitted,appointment_no_slot,appointment_pdf_form",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,appointment_cancel_reschedule,appointments,Can I cancel or reschedule my passport office appointment?,appointment_cancel_reschedule,"appointment_cancel_reschedule,appointment_no_slot,delivery_lost_slip,application_mistakes_submitted,appointment_schedule",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,appointment_no_slot,appointments,I cannot find an available appointment at my passport office. What can I do?,appointment_no_slot,"appointment_no_slot,appointment_schedule,appointment_cancel_reschedule,application_mistakes_submitted,status_pending_backend",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,appointment_no_slot,appointments,I cannot find an available appointment at my passport office. What can I do?,appointment_no_slot,"appointment_no_slot,appointment_schedule,application_mistakes_submitted,appointment_cancel_reschedule,appointment_pdf_form",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,appointment_pdf_form,appointments,Can I schedule an online appointment if I am using a PDF application form instead of the online form?,appointment_pdf_form,"appointment_pdf_form,appointment_schedule,appointment_cancel_reschedule,application_mrp_form,appointment_no_slot",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,appointment_pdf_form,appointments,Can I schedule an online appointment if I am using a PDF application form instead of the online form?,appointment_pdf_form,"appointment_pdf_form,appointment_schedule,application_existing_mrp,account_no_email,application_mrp_form",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,account_forgot_password,account,I forgot my online application account password. What should I do?,account_forgot_password,"account_forgot_password,application_mistakes_submitted,payment_issues,status_browser_issue,application_address_changed",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,account_forgot_password,account,I forgot my online application account password. What should I do?,account_forgot_password,"account_forgot_password,payment_issues,account_activation_email,application_mistakes_submitted,appointment_cancel_reschedule",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,account_change_mobile,account,Can I change the mobile number registered in my e-Passport online account?,account_change_mobile,"account_change_mobile,account_change_email,application_address_changed,appointment_cancel_reschedule,lost_passport_number",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,account_change_mobile,account,Can I change the mobile number registered in my e-Passport online account?,account_change_mobile,"account_change_mobile,appointment_cancel_reschedule,account_change_email,application_address_changed,status_check",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,account_change_email,account,Can I change the email address for my e-Passport online account?,account_change_email,"account_change_email,application_address_changed,account_no_email,account_change_mobile,appointment_cancel_reschedule",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,account_change_email,account,Can I change the email address for my e-Passport online account?,account_change_email,"account_change_email,account_no_email,application_address_changed,appointment_cancel_reschedule,account_change_mobile",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,account_activation_email,account,I did not receive my account activation email. What should I do?,account_activation_email,"account_activation_email,account_no_email,status_email_no_sms,account_forgot_password,account_change_email",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,account_activation_email,account,I did not receive my account activation email. What should I do?,account_activation_email,"account_activation_email,account_forgot_password,account_change_email,status_pending_backend,payment_issues",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,account_no_email,account,I don't have an email address. Can I still apply online for an e-Passport?,account_no_email,"account_no_email,account_change_email,status_email_no_sms,application_mrp_form,application_existing_mrp",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,account_no_email,account,I don't have an email address. Can I still apply online for an e-Passport?,account_no_email,"account_no_email,account_change_email,application_existing_mrp,application_mrp_form,application_address_changed",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,application_mrp_form,application,Can I use the MRP application form to apply for an e-Passport?,application_mrp_form,"application_mrp_form,application_existing_mrp,application_mrp_validity_cancel,account_no_email,photos_required",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,application_mrp_form,application,Can I use the MRP application form to apply for an e-Passport?,application_mrp_form,"application_mrp_form,application_mrp_validity_cancel,application_existing_mrp,appointment_pdf_form,account_no_email",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,application_existing_mrp,application,I already have a Machine Readable Passport (MRP). How do I apply for an e-Passport?,application_existing_mrp,"application_existing_mrp,application_mrp_form,application_mrp_validity_cancel,process_step_2,process_step_4",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,application_existing_mrp,application,I already have a Machine Readable Passport (MRP). How do I apply for an e-Passport?,application_existing_mrp,"application_existing_mrp,account_no_email,application_mrp_form,application_mrp_validity_cancel,payment_methods",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,application_mrp_validity_cancel,application,Can I get an e-Passport even if my MRP still has validity remaining? What happens to the MRP?,application_mrp_validity_cancel,"application_mrp_validity_cancel,application_existing_mrp,application_mrp_form,validity_5_or_10_years,reissue_when",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,application_mrp_validity_cancel,application,Can I get an e-Passport even if my MRP still has validity remaining? What happens to the MRP?,application_mrp_validity_cancel,"application_mrp_validity_cancel,delivery_upgrade_express,application_mrp_form,application_existing_mrp,reissue_when",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,application_name_fields,application,How do I fill in the Given Name and Surname fields in the e-Passport application?,application_name_fields,"application_name_fields,documents_data_changed,application_mistakes_submitted,process_step_2,application_address_changed",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,application_name_fields,application,How do I fill in the Given Name and Surname fields in the e-Passport application?,application_name_fields,"application_name_fields,application_existing_mrp,documents_data_changed,application_mistakes_submitted,application_address_changed",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,application_address_changed,application,My present address has changed from my previous passport. Where do I apply?,application_address_changed,"application_address_changed,documents_data_changed,application_mistakes_submitted,nid_update_passport,application_existing_mrp",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,application_address_changed,application,My present address has changed from my previous passport. Where do I apply?,application_address_changed,"application_address_changed,documents_data_changed,nid_update_passport,account_change_email,application_existing_mrp",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,application_mistakes_submitted,application,I made a mistake in my application after submitting it. What can I do?,application_mistakes_submitted,"application_mistakes_submitted,payment_issues,status_browser_issue,collection_printing_error,account_activation_email",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,application_mistakes_submitted,application,I made a mistake in my application after submitting it. What can I do?,application_mistakes_submitted,"application_mistakes_submitted,account_forgot_password,collection_printing_error,application_address_changed,status_browser_issue",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,photos_required,application,Do I need to bring photos for e-Passport enrolment?,photos_required,"photos_required,photo_attestation,required_documents_general,required_documents_retired_govt,process_step_4",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,photos_required,application,Do I need to bring photos for e-Passport enrolment?,photos_required,"photos_required,required_documents_general,required_documents_retired_govt,photo_attestation,process_step_4",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,biometric_age_requirement,enrolment,From what age is biometric data collected for e-Passport?,biometric_age_requirement,"biometric_age_requirement,photos_required,validity_under_18,nid_requirement_age,process_step_4",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,biometric_age_requirement,enrolment,From what age is biometric data collected for e-Passport?,biometric_age_requirement,"biometric_age_requirement,process_step_4,required_documents_general,process_step_5,nid_requirement_age",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,status_check,status,How can I check the status of my e-Passport application?,status_check,"status_check,status_pending_backend,process_step_1,process_step_2,application_existing_mrp",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,status_check,status,How can I check the status of my e-Passport application?,status_check,"status_check,application_address_changed,lost_passport_number,application_existing_mrp,process_step_1",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,status_pending_backend,status,My passport status shows 'Pending for Backend Verification'. What should I do?,status_pending_backend,"status_pending_backend,status_browser_issue,status_check,delay_reasons,application_mistakes_submitted",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,status_pending_backend,status,My passport status shows 'Pending for Backend Verification'. What should I do?,status_pending_backend,"status_pending_backend,payment_issues,documents_data_changed,status_browser_issue,application_mistakes_submitted",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,status_browser_issue,status,I keep getting an error saying 'Application ID required' even though I entered it. What do I do?,status_browser_issue,"status_browser_issue,application_mistakes_submitted,nid_update_passport,status_pending_backend,nid_requirement_age",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,status_browser_issue,status,I keep getting an error saying 'Application ID required' even though I entered it. What do I do?,status_browser_issue,"status_browser_issue,application_mistakes_submitted,nid_requirement_age,payment_issues,account_activation_email",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,delivery_upgrade_express,delivery,Can I upgrade to express delivery after my e-Passport enrolment is done?,delivery_upgrade_express,"delivery_upgrade_express,delivery_super_express_apply,delivery_timeframes,process_step_5,application_existing_mrp",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,delivery_upgrade_express,delivery,Can I upgrade to express delivery after my e-Passport enrolment is done?,delivery_upgrade_express,"delivery_upgrade_express,delivery_different_city,delivery_super_express_apply,application_existing_mrp,process_step_5",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,delivery_super_express_apply,delivery,How do I apply for Super Express delivery?,delivery_super_express_apply,"delivery_super_express_apply,delivery_upgrade_express,delivery_different_city,delivery_timeframes,delivery_lost_slip",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,delivery_super_express_apply,delivery,How do I apply for Super Express delivery?,delivery_super_express_apply,"delivery_super_express_apply,delivery_different_city,application_existing_mrp,delivery_timeframes,fees_govt_employee_benefit",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,delivery_lost_slip,delivery,I lost my delivery slip. How can I collect my passport?,delivery_lost_slip,"delivery_lost_slip,process_step_5,documents_collect_passport,lost_passport_number,delivery_different_city",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,delivery_lost_slip,delivery,I lost my delivery slip. How can I collect my passport?,delivery_lost_slip,"delivery_lost_slip,delivery_different_city,lost_passport_number,documents_collect_passport,delivery_upgrade_express",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,delivery_different_city,delivery,I applied for my passport in Chittagong. Can I collect it from Dhaka?,delivery_different_city,"delivery_different_city,dhaka_cantonment_jurisdiction,offices_list,delivery_lost_slip,status_email_no_sms",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,delivery_different_city,delivery,I applied for my passport in Chittagong. Can I collect it from Dhaka?,delivery_different_city,"delivery_different_city,status_email_no_sms,collection_minors,dhaka_cantonment_jurisdiction,delivery_lost_slip",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,validity_5_or_10_years,validity,How long is an e-Passport valid for?,validity_5_or_10_years,"validity_5_or_10_years,validity_under_18,delivery_timeframes,reissue_when,application_mrp_validity_cancel",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,validity_5_or_10_years,validity,How long is an e-Passport valid for?,validity_5_or_10_years,"validity_5_or_10_years,application_mrp_validity_cancel,delivery_timeframes,fees_bangladesh_48_5,fees_mission_labor_student_48_5",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,validity_under_18,validity,Can someone under 18 years old get a 10-year e-Passport?,validity_under_18,"validity_under_18,validity_5_or_10_years,biometric_age_requirement,photos_required,fees_bangladesh_48_10",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,validity_under_18,validity,Can someone under 18 years old get a 10-year e-Passport?,validity_under_18,"validity_under_18,fees_bangladesh_48_10,fees_bangladesh_64_10,fees_mission_general_48_10,fees_mission_labor_student_48_10",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,reissue_when,validity,When should I re-issue my e-Passport?,reissue_when,"reissue_when,validity_5_or_10_years,nid_update_passport,biometric_age_requirement,application_mrp_validity_cancel",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,reissue_when,validity,When should I re-issue my e-Passport?,reissue_when,"reissue_when,nid_update_passport,lost_passport_number,application_mrp_validity_cancel,documents_data_changed",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,reissue_expiry_fee,validity,Is there a fee for an expired passport?,reissue_expiry_fee,"reissue_expiry_fee,fees_mission_labor_student_48_10,fees_mission_labor_student_48_5,fees_mission_general_64_10,fees_mission_general_48_5",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,reissue_expiry_fee,validity,Is there a fee for an expired passport?,reissue_expiry_fee,"reissue_expiry_fee,fees_mission_labor_student_48_10,fees_mission_labor_student_48_5,fees_mission_general_48_5,fees_mission_general_64_10",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,reissue_previous_number,validity,How important is it to provide my previous passport number?,reissue_previous_number,"reissue_previous_number,lost_passport_number,documents_data_changed,reissue_when,application_address_changed",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,reissue_previous_number,validity,How important is it to provide my previous passport number?,reissue_previous_number,"reissue_previous_number,lost_passport_number,documents_collect_passport,application_mistakes_submitted,documents_data_changed",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,nid_requirement_age,documents,I am 21 years old and do not have an NID card. Can I apply with my birth registration?,nid_requirement_age,"nid_requirement_age,required_documents_general,documents_collect_passport,application_mistakes_submitted,application_existing_mrp",1.0,1.0,1.0,0.2,1.0,1.0
